Source;Target;Id;linkname
97;1197;769.0;97->1197
98;152;770.0;98->152
98;772;771.0;98->772
98;1904;772.0;98->1904
98;2297;773.0;98->2297
98;3482;774.0;98->3482
98;4129;775.0;98->4129
98;5187;776.0;98->5187
98;5195;777.0;98->5195
98;5792;778.0;98->5792
98;6682;779.0;98->6682
98;6687;780.0;98->6687
98;6688;781.0;98->6688
98;6813;782.0;98->6813
98;7552;783.0;98->7552
98;7868;784.0;98->7868
99;152;785.0;99->152
99;167;786.0;99->167
99;179;787.0;99->179
99;5212;788.0;99->5212
99;5246;789.0;99->5246
100;257;790.0;100->257
100;434;791.0;100->434
100;1798;792.0;100->1798
100;2367;793.0;100->2367
101;1221;794.0;101->1221
101;1256;795.0;101->1256
102;2665;796.0;102->2665
102;8418;797.0;102->8418
103;1568;798.0;103->1568
104;16;799.0;104->16
104;81;800.0;104->81
104;82;801.0;104->82
104;97;802.0;104->97
104;177;803.0;104->177
104;624;804.0;104->624
104;985;805.0;104->985
104;994;806.0;104->994
104;1187;807.0;104->1187
104;1189;808.0;104->1189
104;1197;809.0;104->1197
104;1200;810.0;104->1200
104;1202;811.0;104->1202
104;1266;812.0;104->1266
104;1308;813.0;104->1308
104;1327;814.0;104->1327
104;1328;815.0;104->1328
104;1431;816.0;104->1431
104;1462;817.0;104->1462
104;1742;818.0;104->1742
104;1899;819.0;104->1899
104;2040;820.0;104->2040
104;2042;821.0;104->2042
104;2201;822.0;104->2201
104;2274;823.0;104->2274
104;2295;824.0;104->2295
104;2310;825.0;104->2310
104;2318;826.0;104->2318
104;2487;827.0;104->2487
104;2645;828.0;104->2645
104;2649;829.0;104->2649
104;2778;830.0;104->2778
104;2788;831.0;104->2788
104;3288;832.0;104->3288
104;3416;833.0;104->3416
104;3575;834.0;104->3575
104;3631;835.0;104->3631
104;3680;836.0;104->3680
104;3958;837.0;104->3958
104;4223;838.0;104->4223
104;5205;839.0;104->5205
104;5327;840.0;104->5327
104;5390;841.0;104->5390
104;5542;842.0;104->5542
104;6256;843.0;104->6256
104;6505;844.0;104->6505
104;6563;845.0;104->6563
104;6628;846.0;104->6628
104;6666;847.0;104->6666
104;7567;848.0;104->7567
104;7689;849.0;104->7689
104;7928;850.0;104->7928
104;8147;851.0;104->8147
104;8152;852.0;104->8152
104;8501;853.0;104->8501
104;8671;854.0;104->8671
104;8799;855.0;104->8799
104;8885;856.0;104->8885
104;8934;857.0;104->8934
104;9065;858.0;104->9065
104;9081;859.0;104->9081
104;9286;860.0;104->9286
104;9399;861.0;104->9399
104;9887;862.0;104->9887
104;10047;863.0;104->10047
104;10093;864.0;104->10093
104;10174;865.0;104->10174
104;10434;866.0;104->10434
104;10518;867.0;104->10518
105;167;868.0;105->167
105;780;869.0;105->780
105;781;870.0;105->781
105;2465;871.0;105->2465
105;4237;872.0;105->4237
105;4261;873.0;105->4261
105;4836;874.0;105->4836
105;5212;875.0;105->5212
105;5815;876.0;105->5815
105;6858;877.0;105->6858
105;10029;878.0;105->10029
106;318;879.0;106->318
106;356;880.0;106->356
106;443;881.0;106->443
106;730;882.0;106->730
106;905;883.0;106->905
106;1269;884.0;106->1269
106;1692;885.0;106->1692
106;1920;886.0;106->1920
106;2374;887.0;106->2374
106;2511;888.0;106->2511
106;2750;889.0;106->2750
106;2752;890.0;106->2752
106;2813;891.0;106->2813
106;2906;892.0;106->2906
106;2976;893.0;106->2976
106;3211;894.0;106->3211
106;3485;895.0;106->3485
106;3661;896.0;106->3661
106;3731;897.0;106->3731
106;3878;898.0;106->3878
106;3896;899.0;106->3896
106;4384;900.0;106->4384
106;5679;901.0;106->5679
106;6075;902.0;106->6075
106;6196;903.0;106->6196
106;6585;904.0;106->6585
106;6704;905.0;106->6704
106;6721;906.0;106->6721
106;8208;907.0;106->8208
106;8353;908.0;106->8353
107;112;909.0;107->112
107;142;910.0;107->142
107;149;911.0;107->149
107;177;912.0;107->177
107;190;913.0;107->190
107;193;914.0;107->193
107;3772;915.0;107->3772
107;6736;916.0;107->6736
108;152;917.0;108->152
108;715;918.0;108->715
108;5899;919.0;108->5899
108;6803;920.0;108->6803
108;8340;921.0;108->8340
109;144;922.0;109->144
109;152;923.0;109->152
109;195;924.0;109->195
109;4675;925.0;109->4675
109;6832;926.0;109->6832
110;182;927.0;110->182
110;195;928.0;110->195
110;754;929.0;110->754
110;4417;930.0;110->4417
110;5796;931.0;110->5796
110;5811;932.0;110->5811
110;6840;933.0;110->6840
111;152;934.0;111->152
111;157;935.0;111->157
111;182;936.0;111->182
111;195;937.0;111->195
111;1850;938.0;111->1850
111;2202;939.0;111->2202
111;5853;940.0;111->5853
111;6918;941.0;111->6918
111;11267;942.0;111->11267
112;107;943.0;112->107
112;142;944.0;112->142
112;177;945.0;112->177
112;193;946.0;112->193
112;720;947.0;112->720
112;9169;948.0;112->9169
112;9484;949.0;112->9484
113;115;950.0;113->115
113;116;951.0;113->116
113;117;952.0;113->117
113;151;953.0;113->151
113;272;954.0;113->272
113;728;955.0;113->728
113;984;956.0;113->984
113;993;957.0;113->993
113;1162;958.0;113->1162
113;1306;959.0;113->1306
113;6070;960.0;113->6070
113;6123;961.0;113->6123
113;6275;962.0;113->6275
113;6656;963.0;113->6656
113;6744;964.0;113->6744
113;6831;965.0;113->6831
113;7087;966.0;113->7087
113;7472;967.0;113->7472
114;296;968.0;114->296
114;502;969.0;114->502
114;576;970.0;114->576
114;1234;971.0;114->1234
114;2350;972.0;114->2350
114;2539;973.0;114->2539
114;4251;974.0;114->4251
114;5650;975.0;114->5650
114;5972;976.0;114->5972
114;6124;977.0;114->6124
114;6125;978.0;114->6125
114;6155;979.0;114->6155
114;6242;980.0;114->6242
114;6426;981.0;114->6426
114;6451;982.0;114->6451
114;6619;983.0;114->6619
114;7455;984.0;114->7455
114;9446;985.0;114->9446
114;9995;986.0;114->9995
114;10167;987.0;114->10167
115;117;988.0;115->117
115;627;989.0;115->627
115;1976;990.0;115->1976
115;4971;991.0;115->4971
115;6123;992.0;115->6123
115;6275;993.0;115->6275
115;6395;994.0;115->6395
115;6744;995.0;115->6744
115;6806;996.0;115->6806
115;6831;997.0;115->6831
115;7087;998.0;115->7087
115;7472;999.0;115->7472
115;8593;1000.0;115->8593
115;10113;1001.0;115->10113
116;113;1002.0;116->113
116;117;1003.0;116->117
116;124;1004.0;116->124
116;151;1005.0;116->151
116;989;1006.0;116->989
116;993;1007.0;116->993
116;1169;1008.0;116->1169
116;1576;1009.0;116->1576
116;2364;1010.0;116->2364
116;2393;1011.0;116->2393
116;2629;1012.0;116->2629
116;6395;1013.0;116->6395
116;6644;1014.0;116->6644
116;6656;1015.0;116->6656
116;6744;1016.0;116->6744
116;6806;1017.0;116->6806
116;6831;1018.0;116->6831
116;7087;1019.0;116->7087
116;7472;1020.0;116->7472
